label,value
Webster's Unabridged Dictionary (1st 100 Pages),247
Webster's Unabridged Dictionary (2nd 100 Pages),248
1995 United States Congressional Address Book,251
"Copyright Law of the United States of America
Contained in Title 17 of the United States Code",252
Motion Picture of Rotating Earth,256
Troilus and Criseyde,257
Poems by Adam Lindsay Gordon,258
Ballads of a Cheechako,259
An Introduction to the Study of Robert Browning's Poetry,260
A Dome of Many-Coloured Glass,261
The Collected Poems of Rupert Brooke,262
"Trees, and Other Poems",263
"Main Street, and Other Poems",264
The Life and Death of Cormac the Skald,265
"Confessio Amantis; Or, Tales of the Seven Deadly Sins",266
The Touchstone,267
The Octopus : A Story of California,268
Beasts and Super-Beasts,269
Dream Days,270
Black Beauty,271
An Open Letter on Translating,272
The Smalcald Articles,273
Disputation of Doctor Martin Luther on the Power and Efficacy of Indulgences,274
"The Augsburg Confession
The confession of faith, which was submitted to His Imperial Majesty Charles V at the diet of Augsburg in the year 1530",275
Trinity Site,277
"Trinity Site: 1945-1995.
A National Historic Landmark, White Sands Missile Range, New Mexico",278
Photos and Maps of Trinity (Atomic Test) Site,279
Records of a Family of Engineers,280
Father Damien: An Open Letter to the Reverend Dr. Hyde of Honolulu,281
"Eothen; Or, Traces of Travel Brought Home from the East",282
The Reef,283
The House of Mirth,284
The Lost Continent,285
Laddie: A True Blue Story,286
Remember the Alamo,287
The Certain Hour (Dizain des Poëtes),288
The Wind in the Willows,289
"The Stark Munro Letters
Being series of twelve letters written by J. Stark Munro, M.B., to his friend and former fellow-student, Herbert Swanborough, of Lowell, Massachusetts, during the years 1881-1884",290
The Golden Age,291
"Beauty and the Beast, and Tales of Home",292
Paul Prescott's Charge,293
"The Captain of the Polestar, and Other Tales",294
The Early Short Fiction of Edith Wharton — Part 1,295
The Cash Boy,296
The Flirt,297
The Market-Place,298
Tales from Two Hemispheres,299
The Ballad of Reading Gaol,301
"Rio Grande's Last Race, and Other Verses",304
The Count's Millions,305
The Early Short Fiction of Edith Wharton — Part 2,306
"Three Elephant Power, and Other Stories",307
Three Men in a Boat,308
Rhymes of a Rolling Stone,309
Before Adam,310
Bunner Sisters,311
Young Adventure: A Book of Poems,312
Children of the Night,313
"Guide to Life and Literature of the Southwest, with a Few Observations",314
Rhymes of a Red Cross Man,315
The Golden Road,316
"The Culprit Fay, and Other Poems",317
John Barleycorn,318
The Ways of Men,319
Moran of the Lady Letty,321
St. Ives: Being the Adventures of a French Prisoner in England,322
Verses 1889-1896,323
A Knight of the Cumberland,324
Phantastes: A Faerie Romance for Men and Women,325
"Steep Trails
California, Utah, Nevada, Washington, Oregon, the Grand Canyon",326
The Princess Aline,327
A Heap o' Livin',328
Island Nights' Entertainments,329
Where There's a Will,330
The Mucker,331
The Burial of the Guns,332
Robert Louis Stevenson,333
Episodes in Van Bibber's Life,334
Frances Waldeaux: A Novel,335
Indian Heroes and Great Chieftains,336
Indian Boyhood,337
Old Indian Legends,338
Old Indian Days,339
The Soul of the Indian: An Interpretation,340
Myths and Legends of the Sioux,341
Margaret Ogilvy,342
Fables,343
"The Merry Men, and Other Tales and Fables",344
Dracula,345
"The Troll Garden, and Selected Stories",346
The Saga of Grettir the Strong: Grettir's Saga,347
"Hesiod, the Homeric Hymns, and Homerica",348
The Harvester,349
Fanny Herself,350
Of Human Bondage,351
Buttered Side Down: Stories,352
"In Flanders Fields, and Other Poems",353
The Story of a Pioneer,354
The Parasite: A Story,355
Beyond the City,356
"A Dream of John Ball; and, A King's Lesson",357
The Scarlet Car,358
"Good Stories For Great Holidays
Arranged for Story-Telling and Reading Aloud and for the Children's Own Reading",359
What is Property? An Inquiry into the Principle of Right and of Government,360
Miss Billy — Married,361
Miss Billy's Decision,362
The Oakdale Affair,363
The Mad King,364
The Land of Little Rain,365
Bab: A Sub-Deb,366
The Country of the Pointed Firs,367
Acres of Diamonds: Our Every-day Opportunities,368
The Outlaw of Torn,369
The Fortunes and Misfortunes of the Famous Moll Flanders,370
"Literary Blunders: A Chapter in the ""History of Human Error""",371
"Prince Otto, a Romance",372
"Lay Morals, and Other Papers",373
Fantastic Fables,374
An Occurrence at Owl Creek Bridge,375
"A Journal of the Plague Year
Written by a Citizen Who Continued All the While in London",376
Kansas Women in Literature,377
Worldly Ways & Byways,379
Weir of Hermiston: An Unfinished Romance,380
Memories and Portraits,381
Edinburgh: Picturesque Notes,382
"She Stoops to Conquer; Or, The Mistakes of a Night: A Comedy",383
The Lost Prince,384
"The Redheaded Outfield, and Other Baseball Stories",385
"Virginibus Puerisque, and Other Papers",386
"Vailima Letters
Being Correspondence Addressed by Robert Louis Stevenson to Sidney Colvin, November 1890-October 1894",387
The Crossing,388
The Great God Pan,389
A Lute of Jade : Selections from the Classical Poets of China,390
The Song of Roland,391
Jerusalem Delivered,392
The Blue Lagoon: A Romance,393
Cranford,394
"The Holy War, Made by King Shaddai Upon Diabolus, for the Regaining of the Metropolis of the World; Or, The Losing and Taking Again of the Town of Mansoul",395
"The Lady, or the Tiger?",396
"L'Allegro, Il Penseroso, Comus, and Lycidas",397
The First Book of Adam and Eve,398
Cast Upon the Breakers,399
"Helen of Troy, and Other Poems",400
Blix,401
Penrod,402
Soldiers of Fortune,403
Industrial Biography: Iron Workers and Tool Makers,404
Adventures and Letters of Richard Harding Davis,405
Appreciations of Richard Harding Davis,406
The Reporter Who Made Himself King,407
The Souls of Black Folk,408
"Poems on various subjects, religious and moral",409
Hell Fer Sartain and Other Stories,410
The King's Jackal,411
John Jacob Astor,412
Ballads,413
The Pageant of Summer,414
"The Bible in Spain
Or, the Journeys, Adventures, and Imprisonments of an Englishman, in an Attempt to Circulate the Scriptures in the Peninsula",415
"Winesburg, Ohio: A Group of Tales of Ohio Small Town Life",416
A Treatise on Good Works,418
The Magic of Oz,419
Dorothy and the Wizard in Oz,420
Kidnapped,421
The Romany Rye,422
Round the Red Lamp: Being Facts and Fancies of Medical Life,423
"General William Booth Enters into Heaven, and Other Poems",424
Familiar Studies of Men and Books,425
Tales and Fantasies,426
The Great War Syndicate,427
Frivolous Cupid,428
"The Magic Egg, and Other Stories",429
The Grain of Dust: A Novel,430
The Fortune Hunter,431
The Ambassadors,432
The Conflict,433
The Circular Staircase,434
"Miracle Mongers and Their Methods
A Complete Exposé of the Modus Operandi of Fire Eaters, Heat Resisters, Poison Eaters, Venomous Reptile Defiers, Sword Swallowers, Human Ostriches, Strong Men, Etc.",435
The Master Key: An Electrical Fairy Tale Founded Upon the Mysteries of Electricity,436
Underwoods,438
The Vital Message,439
Just David,440
"New Poems, and Variant Readings",441
Love Songs,442
The Love Affairs of a Bibliomaniac,443
"System of Economical Contradictions; Or, The Philosophy of Misery",444
The Crowd: A Study of the Popular Mind,445
A Book of Remarkable Criminals,446
Maggie: A Girl of the Streets,447
The Psychology of Revolution,448
"Pathology of Lying, Accusation, and Swindling: A Study in Forensic Psychology",449
Susan Lenox: Her Fall and Rise,450
