label,value
"Punch, or the London Charivari, Volume 156, April 2, 1919",11617
"From Chaucer to Tennyson
With Twenty-Nine Portraits and Selections from Thirty Authors",11618
"Punch, or the London Charivari, Volume 153, November 21, 1917",11619
My Brilliant Career,11620
"The Dramatic Works of John Dryden, Volume 1
With a Life of the Author",11623
The Reflections of Ambrosine: A Novel,11624
The Wrong Twin,11625
The Dawn of All,11626
"The World's Great Sermons, Volume 02
Hooker to South",11627
Gossip in a Library,11628
"Punch, or the London Charivari, Volume 153, December 26, 1917",11629
"Punch, or the London Charivari, Volume 156, June 18, 1919",11630
"The Mirror of Literature, Amusement, and Instruction
Volume 19, No. 553, June 23, 1832",11631
Woman: Man's Equal,11632
"Parsifal
A Mystical Drama By Richard Wagner Retold In The Spirit Of The Bayreuth Interpretation",11633
"Human Nature in Politics
Third Edition",11634
Green Tea;  Mr. Justice Harbottle,11635
"Notes and Queries, Number 05, December 1, 1849",11636
"The Mirror of Literature, Amusement, and Instruction
Volume 20, No. 558, July 21, 1832",11637
"Punch, or the London Charivari, Volume 153, July 18, 1917",11638
Figures of Earth: A Comedy of Appearances,11639
Love and Mr. Lewisham,11640
Over There: War Scenes on the Western Front,11641
"What to See in England
A Guide to Places of Historic Interest, Natural Beauty or Literary Association",11642
John Caldigate,11643
"Scientific American Supplement, No. 458, October 11, 1884",11647
"Scientific American Supplement, No. 595, May 28, 1887",11648
"Scientific American Supplement, No. 799, April 25, 1891",11649
"Notes and Queries, Number 07, December 15, 1849",11651
"Notes and Queries, Number 08, December 22, 1849",11652
"Notes and Queries, Number 11, January 12, 1850",11653
Confessions of a Young Man,11654
Fate Knocks at the Door: A Novel,11655
The Great Shadow and Other Napoleonic Tales,11656
"A Williams Anthology
A Collection of the Verse and Prose of Williams College, 1798-1910",11658
The World's Greatest Books — Volume 08 — Fiction,11659
Ethel Morton's Enterprise,11660
The Piper: A Play in Four Acts,11661
"Scientific American Supplement, No. 598, June 18, 1887",11662
"The Camp Fire Girls Do Their Bit; Or, Over the Top with the Winnebagos",11664
Collections and Recollections,11665
The Conjure Woman,11666
"Gentle Measures in the Management and Training of the Young
Or, the Principles on Which a Firm Parental Authority May Be Established and Maintained, Without Violence or Anger, and the Right Development of the Moral and Mental Capacities Be Promoted by Methods in Harmony with the Structure and the Characteristics of the Juvenile Mind",11667
"The Gold Hunters
A Story of Life and Adventure in the Hudson Bay Wilds",11668
"Punch, or the London Charivari, Volume 156, June 11, 1919",11670
The Rudder Grangers Abroad and Other Stories,11671
"A Short History of Women's Rights
From the Days of Augustus to the Present Time. with Special Reference to England and the United States. Second Edition Revised, With Additions.",11672
Stickeen,11673
"The Torrent
Entre Naranjos",11674
Vanishing Roads and Other Essays,11675
"The Balkan Wars: 1912-1913
Third Edition",11676
The White Road to Verdun,11679
"George Eliot; a Critical Study of Her Life, Writings and Philosophy",11680
Marco Paul's Voyages and Travels; Vermont,11681
The Soul of the War,11682
Where the Trail Divides,11683
Without Dogma: A Novel of Modern Poland,11686
"The Atlantic Monthly, Volume 03, No. 17, March, 1859
A Magazine of Literature, Art, and Politics",11687
History of Julius Caesar,11688
Are Women People? A Book of Rhymes for Suffrage Times,11689
Calvert of Strathore,11690
"Driftwood Spars
The Stories of a Man, a Boy, a Woman, and Certain Other People Who Strangely Met Upon the Sea of Life",11691
"The German Classics of the Nineteenth and Twentieth Centuries, Volume 03
Masterpieces of German Literature Translated into English. in Twenty Volumes",11692
"The world's great sermons, Volume 08
Talmage to Knox Little",11693
The evolution of English lexicography,11694
"The Mirror of Literature, Amusement, and Instruction
Volume 20, No. 561, August 11, 1832",11695
The Food of the Gods and How It Came to Earth,11696
Mare Nostrum (Our Sea): A Novel,11697
The Three Brontës,11698
"J. S. Le Fanu's Ghostly Tales, Volume 1",11699
"J. S. Le Fanu's Ghostly Tales, Volume 2",11700
"The Makers and Teachers of Judaism
From the Fall of Jerusalem to the Death of Herod the Great",11701
Washington and his colleagues; a chronicle of the rise and fall of federalism,11702
The Swiss Family Robinson; or Adventures in a Desert Island,11703
"Punch, or the London Charivari, Volume 153, July 25, 1917",11704
"The Mirror of Literature, Amusement, and Instruction
Volume 20, No. 560, August 4, 1832",11705
"The Mirror of Literature, Amusement, and Instruction
Volume 20, No. 559, July 28, 1832",11706
"Notes and Queries, Number 13, January 26, 1850",11707
"Abraham Lincoln, a History — Volume 02",11708
"Slave Narratives: a Folk History of Slavery in the United States
From Interviews with Former Slaves
Arkansas Narratives, Part 6",11709
"The Mirror of Literature, Amusement, and Instruction
Volume 13, No. 375, June 13, 1829",11710
When hearts are trumps,11711
"Punch, or the London Charivari, Volume 156, June 25, 1919",11712
"The world's great sermons, Volume 03
Massillon to Mason",11713
The Eyes of the World,11715
The Balkans: A History of Bulgaria—Serbia—Greece—Rumania—Turkey,11716
The Palmy Days of Nance Oldfield,11717
"The Camp Fire Girls at School; Or, The Wohelo Weavers",11718
Kincaid's Battery,11719
Fenton's Quest,11720
O. Henry Memorial Award Prize Stories of 1920,11721
"First Lessons in Geography
Or, Introduction to ""Youth's Manual of Geography""",11722
Among the Trees at Elmridge,11723
A Ramble of Six Thousand Miles through the United States of America,11725
"Punch, or the London Charivari, Volume 99, July 5, 1890",11726
"The Atlantic Monthly, Volume 03, No. 19, May, 1859
A Magazine of Literature, Art, and Politics",11727
"Abraham Lincoln
The People's Leader in the Struggle for National Existence",11728
"Life of Johnson, Volume 6
Addenda, index, dicta philosophi, etc.",11729
With the Allies,11730
"Virginia: the Old Dominion
As seen from its colonial waterway, the historic river James, whose every succeeding turn reveals country replete with monuments and scenes recalling the march of history and its figures from the days of Captain John Smith to the present time",11731
"Punch, or the London Charivari, Volume 156, April 16, 1919",11732
A Mere Accident,11733
"Scientific American Supplement, No. 460, October 25, 1884",11734
"Scientific American Supplement, No. 481, March 21, 1885",11735
"Scientific American Supplement, No. 586, March 26, 1887",11736
Barks and Purrs,11737
"Hindoo Tales
Or, the Adventures of Ten Princes",11738
"The Mirror of Literature, Amusement, and Instruction
Volume 13, No. 364, April 4, 1829",11740
"The Mirror of Literature, Amusement, and Instruction
Volume 19, No. 539, March 24, 1832",11741
"The Mirror of Literature, Amusement, and Instruction
Volume 13, No. 367, April 25, 1829",11742
"The Mirror of Literature, Amusement, and Instruction
Volume 19, No. 548, May 26, 1832",11743
"Blackwood's Edinburgh Magazine — Volume 53, No. 330, April 1843",11745
Through the Brazilian Wilderness,11746
New Comedies,11749
"J. S. Le Fanu's Ghostly Tales, Volume 3
The Haunted Baronet (1871)",11750
"The Atlantic Monthly, Volume 03, No. 20, June, 1859
A Magazine of Literature, Art, and Politics",11751
Chivalry: Dizain des Reines,11752
"Experimental Determination of the Velocity of Light
Made at the U.S. Naval Academy, Annapolis",11753
"Forty Years in South China
The Life of Rev. John Van Nest Talmage, D.D.",11754
"String Quartet No. 10 in E flat major Opus 74 ""Harp""",11755
The Velveteen Rabbit,11757
Baldy of Nome,11758
The Bicyclers and Three Other Farces,11759
"The World's Great Sermons, Volume 10
Drummond to Jowett, and General Index",11760
"Scientific American Supplement, No. 514, November 7, 1885",11761
"The American Missionary — Volume 42, No. 01, January, 1888",11762
"The American Missionary — Volume 42, No. 02, February, 1888",11763
"The American Missionary — Volume 42, No. 03, March, 1888",11764
Between You and Me,11765
"The Works of Samuel Johnson, Volume 05
Miscellaneous Pieces",11768
"Occasional Papers
Selected from the Guardian, the Times, and the Saturday Review, 1846-1890, Vol. 2",11771
"Narrative of a Voyage to Senegal in 1816
Undertaken by Order of the French Government, Comprising an Account of the Shipwreck of the Medusa, the Sufferings of the Crew, and the Various Occurrences on Board the Raft, in the Desert of Zaara, at St. Louis, and at the Camp of Daccard. to Which Are Subjoined Observations Respecting the Agriculture of the Western Coast of Africa, from Cape Blanco to the Mouth of the Gambia.",11772
International Finance,11774
U.S. Copyright Renewals 1950 - 1977,11800
"U.S. Copyright Renewals, 1950 January - June",11801
"U.S. Copyright Renewals, 1950 July - December",11802
"U.S. Copyright Renewals, 1951 January - June",11803
"U.S. Copyright Renewals, 1951 July - December",11804
"U.S. Copyright Renewals, 1952 January - June",11805
"U.S. Copyright Renewals, 1952 July - December",11806
"U.S. Copyright Renewals, 1953 January - June",11807
"U.S. Copyright Renewals, 1953 July - December",11808
"U.S. Copyright Renewals, 1954 January - June",11809
"U.S. Copyright Renewals, 1954 July - December",11810
"U.S. Copyright Renewals, 1955 January - June",11811
"U.S. Copyright Renewals, 1955 July - December",11812
"U.S. Copyright Renewals, 1956 January - June",11813
"U.S. Copyright Renewals, 1956 July - December",11814
"U.S. Copyright Renewals, 1957 January - June",11815
"U.S. Copyright Renewals, 1957 July - December",11816
"U.S. Copyright Renewals, 1958 January - June",11817
"U.S. Copyright Renewals, 1958 July - December",11818
"U.S. Copyright Renewals, 1959 January - June",11819
"U.S. Copyright Renewals, 1959 July - December",11820
"U.S. Copyright Renewals, 1960 January - June",11821
"U.S. Copyright Renewals, 1960 July - December",11822
"U.S. Copyright Renewals, 1961 January - June",11823
"U.S. Copyright Renewals, 1961 July - December",11824
"U.S. Copyright Renewals, 1962 January - June",11825
"U.S. Copyright Renewals, 1962 July - December",11826
"U.S. Copyright Renewals, 1963 January - June",11827
"U.S. Copyright Renewals, 1963 July - December",11828
"U.S. Copyright Renewals, 1964 January - June",11829
"U.S. Copyright Renewals, 1964 July - December",11830
"U.S. Copyright Renewals, 1965 January - June",11831
"U.S. Copyright Renewals, 1965 July - December",11832
"U.S. Copyright Renewals, 1966 January - June",11833
"U.S. Copyright Renewals, 1966 July - December",11834
"U.S. Copyright Renewals, 1967 January - June",11835
"U.S. Copyright Renewals, 1967 July - December",11836
"U.S. Copyright Renewals, 1968 January - June",11837
"U.S. Copyright Renewals, 1968 July - December",11838
"U.S. Copyright Renewals, 1969 January - June",11839
"U.S. Copyright Renewals, 1969 July - December",11840
"U.S. Copyright Renewals, 1970 January - June",11841
"U.S. Copyright Renewals, 1970 July - December",11842
"U.S. Copyright Renewals, 1971 January - June",11843
"U.S. Copyright Renewals, 1971 July - December",11844
"U.S. Copyright Renewals, 1972 January - June",11845
"U.S. Copyright Renewals, 1972 July - December",11846
"U.S. Copyright Renewals, 1973 January - June",11847
"U.S. Copyright Renewals, 1973 July - December",11848
"U.S. Copyright Renewals, 1974 January - June",11849
"U.S. Copyright Renewals, 1974 July - December",11850
"U.S. Copyright Renewals, 1975 January - June",11851
"U.S. Copyright Renewals, 1975 July - December",11852
"U.S. Copyright Renewals, 1976 January - June",11853
"U.S. Copyright Renewals, 1976 July - December",11854
"U.S. Copyright Renewals, 1977 January - June",11855
"U.S. Copyright Renewals, 1977 July - December",11856
The Lay of Marie and Vignettes in Verse,11857
"George Washington: Farmer
Being an Account of His Home Life and Agricultural Activities",11858
Isaac T. Hopper: A True Life,11859
"Black Beauty, Young Folks' Edition",11860
"Radio Boys Cronies
Or, Bill Brown's Radio",11861
"The Mirror of Literature, Amusement, and Instruction
Volume 20, No. 563, August 25, 1832",11862
"The Mirror of Literature, Amusement, and Instruction
Volume 20, No. 572, October 20, 1832",11863
"The Mirror of Literature, Amusement, and Instruction
Volume 20, No. 570, October 13, 1832",11864
"The Mirror of Literature, Amusement, and Instruction
Volume 20, No. 564, September 1, 1832",11865
"The Life and Most Surprising Adventures of Robinson Crusoe, of York, Mariner (1801)",11866
The Alaskan,11867
"Punch, or the London Charivari, Volume 156, February 5, 1919",11868
Venetia,11869
"The Country of the Blind, and Other Stories",11870
"The Mirror of Literature, Amusement, and Instruction
Volume 19, No. 549 (Supplementary number)",11871
"Punch, or the London Charivari, Volume 156, April 23, 1919",11872
A Holiday in the Happy Valley with Pen and Pencil,11873
Hodge and His Masters,11874
The Blood Red Dawn,11875
The Three Sisters,11876
Monkey Jack and Other Stories,11877
"Three Plays: The Fiddler's House, The Land, Thomas Muskerry",11878
Ronicky Doone,11880
The Shadow of the North: A Story of Old New York and a Lost Campaign,11881
"Colonel Quaritch, V.C.
A Tale of Country Life",11882
Entertaining Made Easy,11883
"The Mirror of Literature, Amusement, and Instruction
Volume 19, No. 534, February 18, 1832",11885
"The Mirror of Literature, Amusement, and Instruction
Volume 19, No. 538, March 17, 1832",11886
"The Mirror of Literature, Amusement, and Instruction
Volume 20, No. 568, September 29, 1832",11887
"The Mirror of Literature, Amusement, and Instruction
Volume 20, No. 575, November 10, 1832",11888
Clarissa Harlowe; or the history of a young lady — Volume 7,11889
"Comrades of the Saddle; Or, The Young Rough Riders of the Plains",11890
Gardening for the Million,11892
"The Mahabharata of Krishna-Dwaipayana Vyasa Translated into English Prose 
Vana Parva, Part 1",11894
Peace Theories and the Balkan War,11895
Citizen Bird: Scenes from Bird-Life in Plain English for Beginners,11896
On the Indian Sect of the Jainas,11897
"Seeing Europe with Famous Authors, Volume 4
France and the Netherlands, Part 2",11898
Elizabeth Visits America,11900
Tommy and Grizel,11901
A Peep into Toorkisthan,11902
"The Mirror of Literature, Amusement, and Instruction
Volume 20, No. 573, October 27, 1832",11903
Ailsa Paige: A Novel,11904
Four-Dimensional Vistas,11906
"Punch, or the London Charivari, Volume 99, July 12, 1890",11907
"Punch, or the London Charivari, Volume 156, March 19, 1919",11908
"Bob the Castaway; Or, The Wreck of the Eagle",11909
"Punch, or the London Charivari, Volume 153, August 8, 1917",11910
The Silent Isle,11911
The Brown Study,11912
Mr. Meeson's Will,11913
The Adventures of Mr. Mocker,11915
The Story of Ireland,11917
The Castle Inn,11918
"Punch, or the London Charivari, Volume 99, July 19, 1890",11919
"Slave Narratives: a Folk History of Slavery in the United States
From Interviews with Former Slaves
Kentucky Narratives",11920
The Illustrated London Reading Book,11921
"Minnesota; Its Character and Climate
Likewise Sketches of Other Resorts Favorable to Invalids; Together
With Copious Notes on Health; Also Hints to Tourists and Emigrants.",11922
"Religion in Earnest
A Memorial of Mrs. Mary Lyth, of York",11923
The Loves of Krishna in Indian Painting and Poetry,11924
"Washington in Domestic Life
From Original Letters and Manuscripts",11926
"Notes and Queries, Number 15, February 9, 1850",11929
More Fables,11930
The Mystery of Monastery Farm,11931
"The Mirror of Literature, Amusement, and Instruction
Volume 20, No. 576, November 17, 1832",11932
A Narrative of a Nine Months' Residence in New Zealand in 1827,11933
Primitive Love and Love-Stories,11934
Mysticism in English Literature,11935
The Wise Mamma Goose,11936
"The Symbolism of Freemasonry
Illustrating and Explaining Its Science and Philosophy, Its Legends, Myths and Symbols",11937
Folklore of the Santal Parganas,11938
Life's Enthusiasms,11939
"The Winning of the West, Volume 1
From the Alleghanies to the Mississippi, 1769-1776",11941
"The Winning of the West, Volume 2
From the Alleghanies to the Mississippi, 1777-1783",11942
"The Winning of the West, Volume 3
The Founding of the Trans-Alleghany Commonwealths, 1784-1790",11943
"The Winning of the West, Volume 4
Louisiana and the Northwest, 1791-1807",11944
Essays of Schopenhauer,11945
"On the Edge of the War Zone
From the Battle of the Marne to the Entrance of the Stars and Stripes",11947
"The Principal Navigations, Voyages, Traffiques and Discoveries of the English Nation — Volume 10
Asia, Part III",11948
"Master Tales of Mystery, Volume 3",11949
"Preliminary Report of the Commission Appointed by the University of Pennsylvania to Investigate Modern Spiritualism
In Accordance with the Request of the Late Henry Seybert",11950
"A Popular History of France from the Earliest Times, Volume 1",11951
"A Popular History of France from the Earliest Times, Volume 2",11952
"A Popular History of France from the Earliest Times, Volume 3",11953
"A Popular History of France from the Earliest Times, Volume 4",11954
"A Popular History of France from the Earliest Times, Volume 5",11955
"A Popular History of France from the Earliest Times, Volume 6",11956
"The Wing-and-Wing; Or, Le Feu-Follet",11957
"Notes and Queries, Number 21, March 23, 1850",11958
"A Brief Memoir with Portions of the Diary, Letters, and Other Remains,
of Eliza Southall, Late of Birmingham, England",11959
The Desire of the Moth; and the Come On,11960
The Lords of the Wild: A Story of the Old New York Border,11961
A Mind That Found Itself: An Autobiography,11962
"Punch, or the London Charivari, Volume 156, June 4, 1919.",11963
Sex and Common-Sense,11965
"The Village Sunday School
With brief sketches of three of its scholars",11966
"Duty, and other Irish Comedies",11969
Wife in Name Only,11970
"Dialstone Lane, Part 1.",11971
"Dialstone Lane, Part 2.",11972
"Dialstone Lane, Part 3.",11973
"Dialstone Lane, Part 4.",11974
"Dialstone Lane, Part 5.",11975
"Dialstone Lane, Complete",11976
The United Empire Loyalists : A Chronicle of the Great Migration,11977
"Brave Tom; Or, The Battle That Won",11978
"The Diverting History of John Gilpin
Showing How He Went Farther Than He Intended, and Came Safe Home Again",11979
A Tramp's Sketches,11980
"The World's Great Sermons, Volume 01
Basil to Calvin",11981
Eighty Years and More; Reminiscences 1815-1897,11982
"Poetic Sketches
A Collection of Miscellaneous Poetry",11983
"A Pluralistic Universe
Hibbert Lectures at Manchester College on the Present Situation in Philosophy",11984
Russian Lyrics,11985
The Book of American Negro Poetry,11986
By Advice of Counsel,11987
The Human Chord,11988
The Crime of the French Café and Other Stories,11989
"Shakespeare's Insomnia, and the Causes Thereof",11990
Po-No-Kah: An Indian Tale of Long Ago,11991
"A Residence in France During the Years 1792, 1793, 1794 and 1795, Part I. 1792
Described in a Series of Letters from an English Lady: with General
and Incidental Remarks on the French Character and Manners",11992
"A Residence in France During the Years 1792, 1793, 1794 and 1795, Part II., 1793
Described in a Series of Letters from an English Lady: with General
and Incidental Remarks on the French Character and Manners",11993
"A Residence in France During the Years 1792, 1793, 1794 and 1795, Part III., 1794
Described in a Series of Letters from an English Lady: with General
and Incidental Remarks on the French Character and Manners",11994
"A Residence in France During the Years 1792, 1793, 1794 and 1795, Part IV., 1795
Described in a Series of Letters from an English Lady: with General
and Incidental Remarks on the French Character and Manners",11995
"A Residence in France During the Years 1792, 1793, 1794 and 1795, Complete
Described in a Series of Letters from an English Lady: with General
and Incidental Remarks on the French Character and Manners",11996
Crusoes of the Frozen North,11997
Sight to the Blind,11998
The Servant in the House,11999
"A Walk from London to John O'Groat's
With Notes by the Way",12000
Studies in Literature,12001
"Review of the Work of Mr John Stuart Mill Entitled, 'Examination of Sir William Hamilton's Philosophy.'",12002
Essays on some unsettled Questions of Political Economy,12004
"A Handbook to Agra and the Taj, Sikandra, Fatehpur-Sikri and the Neighbourhood",12006
Cousin Hatty's Hymns and Twilight Stories,12007
"The Fourth-Dimensional Reaches of the Exposition: San Francisco, 1915",12010
"My Year of the War
Including an Account of Experiences with the Troops in France and the Record of a Visit to the Grand Fleet Which is Here Given for the First Time in its Complete Form",12013
The Lives of the Poets of Great Britain and Ireland (1753) Volume IV.,12014
Love under Fire,12015
"The Merchant of Berlin
An Historical Novel",12016
"The Mirror of Literature, Amusement, and Instruction
Volume 13 — Index to Volume 13",12017
"Notes and Queries, Number 17, February 23, 1850",12018
Queen Hortense: A Life Picture of the Napoleonic Era,12019
A Woman of the World: Her Counsel to Other People's Sons and Daughters,12020
Adopting an Abandoned Farm,12021
A start in life. A journey across America. Fruit farming in California,12022
"The Atlantic Monthly, Volume 11, No. 66, April, 1863
A Magazine of Literature, Art, and Politics",12023
"Bred in the Bone; Or, Like Father, Like Son: A Novel",12024
"English Prose
A Series of Related Essays for the Discussion and Practice of the Art of Writing",12025
Poems New and Old,12026
Crime: Its Cause and Treatment,12027
"The Uttermost Farthing
A Savant's Vendetta",12028
"George Washington's Rules of Civility
Traced to their Sources and Restored by Moncure D. Conway",12029
"The Spectator, Volumes 1, 2 and 3
With Translations and Index for the Series",12030
"Collected Poems 1901-1918 in Two Volumes
Volume I.",12031
"Collected Poems 1901-1918 in Two Volumes
Volume II.",12032
What's the Matter with Ireland?,12033
"Knights of Malta, 1523-1798",12034
Progressive Morality: An Essay in Ethics,12035
"Hygeia, a City of Health",12036
The Wild Knight and Other Poems,12037
"Representative Plays by American Dramatists: 1856-1911:
Introduction and Bibliography",12038
Beaumont & Fletcher's Works (1 of 10) - the Custom of the Country,12039
Beaumont & Fletcher's Works (2 of 10) - the Humourous Lieutenant,12040
The Shadow of the Cathedral,12041
The value of a praying mother,12042
"Punch, or the London Charivari, Volume 153, August 1, 1917.",12043
"The Grimké Sisters
Sarah and Angelina Grimké: the First American Women Advocates of
Abolition and Woman's Rights",12044
"Women in the fine arts, from the Seventh Century B.C. to the Twentieth Century A.D.",12045
"Narrative of a Survey of the Intertropical and Western Coasts of Australia
Performed between the years 1818 and 1822 — Volume 2",12046
Legends of the Madonna as Represented in the Fine Arts,12047
Our Little Korean Cousin,12048
Legal Status of Women in Iowa,12049
"The Works of Samuel Johnson, Volume 04
The Adventurer; The Idler",12050
Dick Sand: A Captain at Fifteen,12051
Half a Century,12052
"The Mirror of Literature, Amusement, and Instruction
Volume 20, No. 571 (Supplementary Number)",12054
"Slave Narratives: a Folk History of Slavery in the United States
From Interviews with Former Slaves
Mississippi Narratives",12055
"Phases of Faith; Or, Passages from the History of My Creed",12056
Yolanda: Maid of Burgundy,12057
"The Mahabharata of Krishna-Dwaipayana Vyasa Translated into English Prose 
Virata Parva",12058
The World's Greatest Books — Volume 09 — Lives and Letters,12059
"The German Classics of the Nineteenth and Twentieth Centuries, Volume 04
Masterpieces of German Literature Translated into English. in Twenty Volumes",12060
"Dio's Rome, Volume 6
An Historical Narrative Originally Composed in Greek During The
Reigns of Septimius Severus, Geta and Caracalla, Macrinus, Elagabalus
And Alexander Severus",12061
"Lighted to Lighten: the Hope of India
A Study of Conditions among Women in India",12062
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 388, September 5, 1829",12063
Notes of an Overland Journey Through France and Egypt to Bombay,12064
"The Atlantic Monthly, Volume 09, No. 52, February, 1862
A Magazine of Literature, Art, and Politics",12066
The Bee-Man of Orn and Other Fanciful Tales,12067
"Camp-Fire and Cotton-Field
Southern Adventure in Time of War. Life with the Union Armies, and
Residence on a Louisiana Plantation",12068
Joe Tilden's Recipes for Epicures,12069
"The Torch Bearer
A Look Forward and Back at the Woman's Journal, the Organ of the
Woman's Movement",12071
Letters of Horace Walpole — Volume I,12073
Letters of Horace Walpole — Volume II,12074
The Philippines: Past and Present (Volume 1 of 2),12077
"Ireland, Historic and Picturesque",12078
"Punch, or the London Charivari, Volume 156, May 7, 1919.",12079
Lives of Girls Who Became Famous,12081
"Eric; Or, Little by Little",12083
"Revelations of a Wife
The Story of a Honeymoon",12084
"Annie Besant
An Autobiography",12085
Eastern Shame Girl,12086
"The American Missionary — Volume 42, No. 04, April, 1888",12087
Composition-Rhetoric,12088
Letters of Travel (1892-1913),12089
The Lives of the Poets of Great Britain and Ireland (1753) Volume V.,12090
"The Camp Fire Girls at Long Lake; Or, Bessie King in Summer Camp",12091
"The Oxford Movement; Twelve Years, 1833-1845",12092
The Song of the Stone Wall,12093
O. Henry Memorial Award Prize Stories of 1919,12094
More Bywords,12095
"Bushido, the Soul of Japan",12096
"The Atlantic Monthly, Volume 09, No. 54, April, 1862
A Magazine of Literature, Art, and Politics",12097
"The Elder Brother
The Works of Francis Beaumont and John Fletcher (Volume 2 of 10)",12098
"Memories of Jane Cunningham Croly, ""Jenny June""",12099
Between the Dark and the Daylight,12100
"A Social History of the American Negro
Being a History of the Negro Problem in the United States. Including A History and Study of the Republic of Liberia",12101
Darrel of the Blessed Isles,12102
The Tale of Mrs. Tiggy-Winkle,12103
Ethelyn's Mistake,12104
"Old Gorgon Graham
More Letters from a Self-Made Merchant to His Son",12106
"The Atlantic Monthly, Volume 09, No. 55, May, 1862
A Magazine of Literature, Art, and Politics",12107
"The House That Jack Built
One of R. Caldecott's Picture Books",12109
The Scornful Lady,12110
The Glories of Ireland,12111
The Boy Scouts of the Eagle Patrol,12112
"Punch, or the London Charivari, Volume 156, May 14, 1919",12114
"Discoveries in Australia, Volume 1.
With an Account of the Coasts and Rivers Explored and Surveyed During
The Voyage of H.M.S. Beagle, in the Years 1837-38-39-40-41-42-43.
By Command of the Lords Commissioners of the Admiralty. Also a Narrative
Of Captain Owen Stanley's Visits to the Islands in the Arafura Sea.",12115
Struwwelpeter: Merry Stories and Funny Pictures,12116
"The American Missionary — Volume 42, No. 05, May, 1888",12118
"The Lady of the Barge
The Lady of the Barge and Others, Part 1.",12121
"The Monkey's Paw
The Lady of the Barge and Others, Part 2.",12122
"Bill's Paper Chase
Lady of the Barge and Others, Part 3.",12123
"The Well
The Lady of the Barge and Others, Part 4.",12124
"Cupboard Love
The Lady of the Barge and Others, Part 5.",12125
"In the Library
The Lady of the Barge and Others, Part 6.",12126
"Captain Rogers
The Lady of the Barge and Others, Part 7.",12127
"A Tiger's Skin
The Lady of the Barge and Others, Part 8.",12128
"A Mixed Proposal
The Lady of the Barge and Others, Part 9.",12129
"An Adulteration Act
The Lady of the Barge and Others, Part 10.",12130
"A Golden Venture
The Lady of the Barge and Others, Part 11.",12131
"Three at Table
The Lady of the Barge and Others, Part 12.",12132
"The Lady of the Barge and Others, Entire Collection",12133
"The American Missionary — Volume 42, No. 06, June, 1888",12134
"The Art of Fencing; Or, The Use of the Small Sword",12135
Government and Administration of the United States,12136
"The History of University Education in Maryland
The Johns Hopkins University (1876-1891). With supplementary notes on university extension and the university of the future",12138
"The Gringos
A Story Of The Old California Days In 1849",12139
Roman Farm Management: The Treatises of Cato and Varro,12140
The Spanish Curate: A Comedy,12141
Sterne,12142
The Three Comrades,12143
"The Continental Classics, Volume XVIII., Mystery Tales
Including Stories by Feodor Mikhailovitch Dostoyevsky, Jörgen Wilhelm
Bergsöe and Bernhard Severin Ingemann",12144
The Poetical Works of William Wordsworth — Volume 2,12145
"Discoveries in Australia, Volume 2
Discoveries in Australia; with an Account of the Coasts and Rivers
Explored and Surveyed During the Voyage of H.M.S. Beagle, in The
Years 1837-38-39-40-41-42-43. By Command of the Lords Commissioners
Of the Admiralty. Also a Narrative of Captain Owen Stanley's Visits
To the Islands in the Arafura Sea",12146
"The Mirror of Literature, Amusement, and Instruction
Volume 20, No. 565, September 8, 1832",12147
"North, South and over the Sea",12150
"Back to Back
Night Watches, Part 1.",12151
"Keeping Watch
Night Watches, Part 2.",12152
"The Understudy
Night Watches, Part 3.",12153
"The Weaker Vessel
Night Watches, Part 4.",12154
"Stepping Backwards
Night Watches, Part 5.",12155
"The Three Sisters
Night Watches, Part 6.",12156
"The Unknown
Night Watches, Part 7.",12157
"The Vigil
Night Watches, Part 8.",12158
"Easy Money
Night Watches, Part 9.",12159
"His Other Self
Night Watches, Part 10.",12160
"Night Watches
Complete Series",12161
"The Communes of Lombardy from the VI. to the X. Century
An Investigation of the Causes Which Led to the Development of Municipal Unity Among the Lombard Communes.",12162
"The Sleeper Awakes
A Revised Edition of When the Sleeper Wakes",12163
Strawberry Acres,12164
"The works of John Dryden,  now first collected in eighteen volumes.  Volume 02",12166
"Sakoontala; Or, The Lost Ring: An Indian Drama",12169
The Wolf Hunters: A Tale of Adventure in the Wilderness,12170
"Women Workers in Seven Professions
A Survey of Their Economic Conditions and Prospects",12171
Alone in London,12172
"The Two Lovers of Heaven: Chrysanthus and Daria
A Drama of Early Christian Rome",12173
The Nest of the Sparrowhawk: A Romance of the XVIIth Century,12175
The Gate of the Giant Scissors,12176
The Precipice: A Novel,12177
Vandemark's Folly,12179
Clarissa Harlowe; or the history of a young lady — Volume 8,12180
The Story of Bessie Costrell,12181
"Wau-bun
The Early Day in the Northwest",12183
Abroad with the Jimmies,12184
My Home in the Field of Honor,12185
"The Principles of Masonic Law
A Treatise on the Constitutional Laws, Usages and Landmarks of
Freemasonry",12186
The Mystery of 31 New Inn,12187
The Key to Peace,12188
"Jim Waring of Sonora-Town; Or, Tang of Life",12189
The Adventures of Captain Horn,12190
The Red Axe,12191
The Long Shadow,12192
The Gentleman from Everywhere,12193
"Liza; Or, ""A Nest of Nobles""",12194
The Mystery of Metropolisville,12195
Red Saunders: His Adventures West & East,12196
Mr. Scraggs,12197
"Notes and Queries, Number 22, March 30, 1850",12198
